country_code,country,tb_incidence,physicians,uhc,spi_overall,spi_pillar5,health_expenditure
afg,Afghanistan,204.0,0.317,53.0,56.74958,55.0,14.98576
ago,Angola,383.0,0.244,32.0,57.59583,50.0,2.54693
alb,Albania,15.0,1.879,99.0,85.07708,95.0,7.0524
and,Andorra,4.9,5.068,100.0,44.79667,25.0,7.69928
are,UAE,0.76,2.992,99.0,77.305,85.0,4.97095
arg,Argentina,39.0,5.106,95.0,79.18542,70.0,10.26952
arm,Armenia,21.0,3.36,93.0,83.36458,90.0,9.32119
aus,Australia,6.2,4.086,100.0,88.86625,100.0,10.39852
aut,Austria,5.3,5.515,100.0,92.64667,100.0,11.15297
aze,Azerbaijan,66.0,3.185,98.0,66.78625,80.0,4.27114
bdi,Burundi,86.0,0.078,51.0,43.28083,45.0,9.09471
bel,Belgium,2.5,3.574,99.0,90.16292,100.0,10.80372
ben,Benin,42.0,0.216,35.0,68.03667,65.0,3.33732
bfa,Burkina Faso,58.0,0.148,47.0,73.97917,80.0,7.79943
bgd,Bangladesh,221.0,0.722,66.0,71.48208,70.0,2.17015
bgr,Bulgaria,17.0,4.328,86.0,88.35042,90.0,7.91853
bhr,Bahrain,14.0,0.741,100.0,51.57917,40.0,3.99562
blr,Belarus,19.0,4.717,100.0,79.40125,95.0,7.08167
bol,Bolivia,105.0,1.284,70.0,68.85833,55.0,6.91865
bra,Brazil,49.0,2.357,92.0,80.63917,70.0,9.73093
brb,Barbados,0.71,2.958,98.0,62.835,70.0,5.40464
brn,Brunei,72.0,1.886,100.0,63.20625,50.0,2.22861
btn,Bhutan,179.0,0.553,85.0,59.10542,45.0,4.41552
bwa,Botswana,175.0,0.379,74.0,64.62375,60.0,6.25575
caf,Central African Republic,428.0,0.074,34.0,47.26625,45.0,10.65553
can,Canada,6.2,2.819,99.0,93.46167,100.0,11.18693
che,Switzerland,5.4,4.477,100.0,90.2925,90.0,11.69096
chl,Chile,20.0,3.334,100.0,86.81708,95.0,10.1747
chn,China,52.0,3.112,97.0,58.84375,60.0,5.94389
civ,Cote d'Ivoire,103.0,0.166,42.0,64.88625,65.0,3.43218
cmr,Cameroon,137.0,0.136,51.0,60.12417,55.0,4.55455
cod,"Congo, Dem. Rep.",385.0,0.208,34.0,46.77917,40.0,3.68495
cog,"Congo, Rep.",298.0,0.173,40.0,38.49167,50.0,3.29744
col,Colombia,46.0,2.535,96.0,83.2725,85.0,8.15838
cpv,Cape Verde,53.0,0.73,83.0,60.52417,55.0,5.84792
cri,Costa Rica,9.5,2.687,98.0,89.17208,90.0,6.86637
cyp,Cyprus,7.2,3.556,99.0,88.00208,95.0,8.11913
cze,Czech Republic,4.9,4.352,99.0,91.04125,95.0,8.42677
deu,Germany,5.6,4.534,99.0,92.47083,95.0,11.74429
dji,Djibouti,477.0,0.211,42.0,39.58,55.0,2.28316
dnk,Denmark,3.5,4.498,100.0,95.25583,100.0,9.5573
dom,Dominican Republic,50.0,2.426,89.0,74.45333,75.0,4.5988
dza,Algeria,55.0,1.66,86.0,57.36292,50.0,4.35083
ecu,Ecuador,59.0,2.313,91.0,78.47458,60.0,7.56168
egy,Egypt,10.0,0.671,97.0,77.78667,75.0,4.88449
esp,Spain,9.7,4.294,100.0,94.325,100.0,9.22066
est,Estonia,9.1,3.469,99.0,92.79458,100.0,7.47082
eth,Ethiopia,143.0,0.143,12.0,62.67375,45.0,2.8031
fin,Finland,3.7,3.609,99.0,95.11542,100.0,10.4739
fra,France,8.3,3.281,99.0,92.82958,100.0,11.51975
fsm,"Micronesia, Fed. Sts.",397.0,0.974,90.0,36.50792,25.0,12.88088
gab,Gabon,380.0,0.521,24.0,46.82917,45.0,3.13431
gbr,UK,8.6,3.301,99.0,88.9025,90.0,10.99129
geo,Georgia,51.0,5.642,90.0,89.2675,90.0,6.85759
gha,Ghana,129.0,0.266,41.0,66.245,60.0,2.94687
gin,Guinea,178.0,0.21,42.0,51.3225,55.0,3.69443
gmb,Gambia,142.0,0.09,54.0,68.58875,55.0,2.8925
gnb,Guinea-Bissau,178.0,0.252,23.0,43.90417,40.0,8.82205
gnq,Equatorial Guinea,203.0,0.153,36.0,31.07125,35.0,3.49942
grc,Greece,5.6,6.576,99.0,90.57542,100.0,8.39367
gtm,Guatemala,29.0,1.281,71.0,76.93792,80.0,6.80241
guy,Guyana,66.0,1.387,91.0,54.05208,45.0,2.46674
hnd,Honduras,38.0,0.489,87.0,65.50083,50.0,7.70976
hrv,Croatia,8.4,3.909,96.0,87.02333,95.0,7.14699
hti,Haiti,185.0,0.292,29.0,37.60542,50.0,3.19157
hun,Hungary,6.5,3.456,98.0,90.22125,100.0,6.36869
idn,Indonesia,388.0,0.524,87.0,81.09333,70.0,2.7024
ind,India,192.0,0.723,81.0,77.30833,50.0,3.33944
irl,Ireland,4.8,3.875,90.0,91.41625,100.0,6.57539
irn,Iran,11.0,1.811,90.0,62.9625,45.0,6.02542
irq,Iraq,23.0,1.022,98.0,54.11417,40.0,5.53275
isl,Iceland,3.6,4.373,99.0,81.7425,100.0,8.7051
isr,Israel,2.8,3.797,100.0,87.89042,100.0,7.09822
ita,Italy,5.4,4.191,100.0,93.63875,100.0,8.40559
jam,Jamaica,4.3,0.46,91.0,71.37208,45.0,7.60494
jor,Jordan,3.3,2.851,97.0,78.45208,70.0,7.66001
jpn,Japan,9.8,2.649,100.0,90.94375,95.0,10.73979
kaz,Kazakhstan,49.0,3.754,98.0,82.80542,65.0,3.76702
ken,Kenya,214.0,0.289,37.0,70.63792,70.0,4.35173
kgz,Kyrgyz Republic,131.0,1.568,98.0,77.78083,85.0,4.50344
kor,South Korea,38.0,2.61,100.0,91.4525,95.0,8.56507
kwt,Kuwait,11.0,2.273,100.0,62.43792,60.0,4.96312
lao,Lao,132.0,0.331,87.0,60.89042,35.0,1.32652
lbn,Lebanon,12.0,2.68,99.0,61.84958,40.0,5.57497
lbr,Liberia,215.0,0.178,33.0,59.06625,60.0,13.00575
lca,St. Lucia,1.1,4.234,83.0,64.33083,55.0,4.72983
lka,Sri Lanka,57.0,1.136,95.0,77.86708,60.0,3.68314
lso,Lesotho,584.0,0.235,50.0,58.04792,60.0,12.61182
ltu,Lithuania,34.0,4.466,96.0,93.48083,100.0,7.31802
lva,Latvia,22.0,3.398,92.0,91.42708,100.0,7.27784
mar,Morocco,97.0,0.74,88.0,70.01083,55.0,6.06396
mda,Moldova,70.0,4.016,86.0,86.07167,90.0,6.73597
mdg,Madagascar,220.0,0.172,21.0,56.40833,45.0,3.42823
mex,Mexico,28.0,2.588,93.0,91.63833,85.0,5.50399
mkd,North Macedonia,11.0,2.944,99.0,84.95875,80.0,7.4273
mli,Mali,52.0,0.188,56.0,63.37833,45.0,3.81317
mlt,Malta,13.0,4.513,100.0,85.65583,85.0,8.84301
mne,Montenegro,17.0,2.783,98.0,71.94417,80.0,9.65499
mng,Mongolia,448.0,4.13,72.0,82.70875,65.0,6.07207
moz,Mozambique,361.0,0.175,46.0,65.42667,60.0,8.50127
mrt,Mauritania,70.0,0.261,35.0,60.83042,60.0,4.34333
mus,Mauritius,12.0,1.436,96.0,78.67625,75.0,5.56544
mwi,Malawi,119.0,0.054,40.0,63.58333,45.0,6.5346
mys,Malaysia,97.0,2.341,96.0,80.08792,75.0,3.9576
nam,Namibia,432.0,0.553,41.0,55.01292,60.0,9.48252
ner,Niger,83.0,0.038,36.0,66.90625,65.0,4.04896
nga,Nigeria,219.0,0.38,39.0,65.55708,50.0,4.19086
nld,Netherlands,4.5,3.876,98.0,89.9825,100.0,9.8315
nor,Norway,2.8,4.975,98.0,94.55667,100.0,9.42925
npl,Nepal,231.0,1.011,83.0,61.01875,55.0,6.15844
nzl,New Zealand,6.7,3.611,100.0,91.30958,100.0,10.12948
omn,Oman,14.0,1.992,99.0,58.24667,50.0,3.49047
pak,Pakistan,267.0,1.16,72.0,68.91083,60.0,2.51988
pan,Panama,61.0,1.625,88.0,76.27958,60.0,8.33023
per,Peru,149.0,1.688,78.0,78.71583,55.0,5.63786
phl,Philippines,632.0,0.792,86.0,82.70375,65.0,5.10123
plw,Palau,85.0,1.808,99.0,55.06542,50.0,10.85468
png,Papua New Guinea,647.0,0.061,24.0,44.24458,30.0,2.87081
pol,Poland,13.0,4.031,99.0,94.65375,100.0,7.13849
prt,Portugal,16.0,5.851,100.0,93.77833,100.0,10.02761
pry,Paraguay,76.0,3.893,95.0,71.61833,75.0,8.35731
qat,Qatar,40.0,3.022,100.0,66.78625,65.0,2.52359
rou,Romania,62.0,3.625,90.0,88.6175,85.0,5.70901
rus,Russia,38.0,5.111,91.0,80.94583,90.0,7.04438
rwa,Rwanda,62.0,0.09,71.0,73.13917,70.0,5.12709
sau,Saudi Arabia,8.4,3.406,98.0,83.86333,95.0,5.68722
sen,Senegal,133.0,0.109,54.0,76.87875,75.0,4.32315
sgp,Singapore,41.0,2.834,100.0,88.7675,80.0,4.49163
slb,Solomon Islands,97.0,0.238,34.0,49.255,45.0,5.36366
sle,Sierra Leone,380.0,0.134,41.0,61.105,45.0,4.71883
slv,El Salvador,86.0,1.616,88.0,75.56083,70.0,9.28739
srb,Serbia,20.0,3.099,98.0,84.07208,85.0,8.03134
ssd,South Sudan,326.0,0.041,30.0,23.84125,30.0,11.61002
stp,Sao Tome and Principe,73.0,0.464,49.0,53.43125,35.0,5.77292
sur,Suriname,31.0,1.355,89.0,57.5375,55.0,5.40666
svk,Slovak Republic,4.6,3.697,98.0,89.76833,100.0,7.35262
svn,Slovenia,4.7,3.367,98.0,94.22042,100.0,9.30009
swe,Sweden,3.8,4.408,99.0,94.41,100.0,11.15292
swz,Eswatini,326.0,0.557,68.0,61.5225,60.0,7.49764
syc,Seychelles,18.0,6.598,99.0,59.99792,70.0,4.48238
syr,Syria,23.0,1.521,95.0,31.83792,40.0,2.70999
tcd,Chad,120.0,0.085,27.0,52.36583,45.0,4.99708
tgo,Togo,47.0,0.08,44.0,64.42583,60.0,6.1083
tha,Thailand,149.0,0.541,99.0,83.57833,85.0,4.53788
tjk,Tajikistan,76.0,1.87,96.0,53.60833,30.0,7.4379
tkm,Turkmenistan,41.0,1.93,99.0,30.7175,15.0,5.49789
tls,Timor-Leste,455.0,0.752,71.0,61.80083,65.0,9.59779
ton,Tonga,7.6,1.014,94.0,64.05,45.0,7.36038
tto,Trinidad and Tobago,25.0,4.157,94.0,57.78208,50.0,7.52569
tun,Tunisia,38.0,1.315,98.0,75.45458,60.0,7.98538
tur,Turkey,14.0,2.236,99.0,78.67708,100.0,4.27524
tuv,Tuvalu,163.0,1.346,89.0,42.68875,15.0,27.08969
tza,Tanzania,183.0,0.134,43.0,70.85125,55.0,3.05201
uga,Uganda,198.0,0.191,42.0,66.6275,75.0,4.236
ukr,Ukraine,89.0,3.531,97.0,78.41333,95.0,8.20275
