country_code,country,tb_incidence,physicians,uhc,spi_overall,spi_pillar5,health_expenditure,physicians_z,uhc_z,spi_overall_z,spi_pillar5_z,health_expenditure_z,HSPI,Preparedness Level,Quadrant
afg,Afghanistan,204.0,0.317,53.0,56.74958,55.0,14.98576,-1.0195483101439524,-1.030087887259309,-0.879930732486673,-0.6135694056359496,2.4895017545725966,44.68223057488819,Moderate,Priority
ago,Angola,383.0,0.244,32.0,57.59583,50.0,2.54693,-1.0619686631329126,-1.857811331897914,-0.8291192158312455,-0.8357004928860505,-1.3157135912619693,13.111076507267539,Low,Priority
alb,Albania,15.0,1.879,99.0,85.07708,95.0,7.0524,-0.11186897632538034,0.7830206105204917,0.8209416315388811,1.163479292364858,0.06257388305814411,69.2515257115775,High,Resilient
and,Andorra,4.9,5.068,100.0,44.79667,25.0,7.69928,1.7412612384937145,0.8224360126461395,-1.5976211142247259,-1.9463559291365553,0.2604636928644896,46.85671651358499,Moderate,Emerging Risk
are,UAE,0.76,2.992,99.0,77.305,85.0,4.97095,0.534896131574793,0.7830206105204917,0.3542814573972974,0.719217117864656,-0.574171331852531,63.38306776225967,High,Resilient
arg,Argentina,39.0,5.106,95.0,79.18542,70.0,10.26952,1.7633430660770089,0.6253590020179003,0.4671877996710918,0.05282385611435321,1.0467367338561129,77.31129571915439,Very High,Resilient
arm,Armenia,21.0,3.36,93.0,83.36458,90.0,9.32119,0.7487411986972222,0.5465281977666047,0.7181177352051507,0.941348205114757,0.7566290734961518,75.72132479996422,High,Resilient
aus,Australia,6.2,4.086,100.0,88.86625,100.0,10.39852,1.1706203256833192,0.8224360126461395,1.0484553385583748,1.3856103796149588,1.0861996720595177,87.45923347416075,Very High,Resilient
aut,Austria,5.3,5.515,100.0,92.64667,100.0,11.15297,2.001013262960361,0.8224360126461395,1.275443668005361,1.3856103796149588,1.3169966776995086,95.85039721798658,Very High,Resilient
aze,Azerbaijan,66.0,3.185,98.0,66.78625,80.0,4.27114,0.6470485716688932,0.7436052083948439,-0.2772974386963861,0.4970860306145551,-0.7882531828922581,56.901303622988,High,High Burden
bdi,Burundi,86.0,0.078,51.0,43.28083,45.0,9.09471,-1.1584313836283562,-1.1089186915106048,-1.6886369244545198,-1.0578315801361515,0.6873456142379568,23.36303634461986,Low,Priority
bel,Belgium,2.5,3.574,99.0,90.16292,100.0,10.80372,0.8730967540347218,0.7830206105204917,1.126311491351986,1.3856103796149588,1.2101561260131586,86.57902341616081,Very High,Resilient
ben,Benin,42.0,0.216,35.0,68.03667,65.0,3.33732,-1.0782394834574454,-1.7395651255209703,-0.20221828164317482,-0.16930723113574772,-1.0739220274899601,23.774855292746775,Low,Emerging Risk
bfa,Burkina Faso,58.0,0.148,47.0,73.97917,80.0,7.79943,-1.1177543328170245,-1.266580300013196,0.15458814402876409,0.4970860306145551,0.29110100496581526,42.15529684736296,Moderate,Priority
bgd,Bangladesh,221.0,0.722,66.0,71.48208,70.0,2.17015,-0.784202516164105,-0.5176876596258871,0.004654991739131347,0.05282385611435321,-1.4309759622408753,34.11817059418467,Moderate,Priority
bgr,Bulgaria,17.0,4.328,86.0,88.35042,90.0,7.91853,1.3112467013453515,0.27062038288706974,1.0174832799038769,0.941348205114757,0.3275353920977959,76.74316946050526,Very High,Resilient
bhr,Bahrain,14.0,0.741,100.0,51.57917,40.0,3.99562,-0.7731616023724578,0.8224360126461395,-1.1903784415920078,-1.2799626673862525,-0.8725386769527396,30.091112153634654,Low,Emerging Risk
blr,Belarus,19.0,4.717,100.0,79.40125,95.0,7.08167,1.53729488371118,0.8224360126461395,0.48014691298245543,1.163479292364858,0.07152799314507181,78.08929020811777,Very High,Resilient
bol,Bolivia,105.0,1.284,70.0,68.85833,55.0,6.91865,-0.4576239082216994,-0.3600260511232958,-0.1528832260743732,-0.6135694056359496,0.02165785216895518,41.36785286697742,Moderate,Priority
bra,Brazil,49.0,2.357,92.0,80.63917,70.0,9.73093,0.16589717064342735,0.5071127956409568,0.5544755306463685,0.05282385611435321,0.8819743781431532,65.63064875805257,High,Resilient
brb,Barbados,0.71,2.958,98.0,62.835,70.0,5.40464,0.5151387068950034,0.7436052083948439,-0.5145429396532641,0.05282385611435321,-0.44149938092668106,53.86146672688467,High,Resilient
brn,Brunei,72.0,1.886,100.0,63.20625,50.0,2.22861,-0.10780127124424724,0.8224360126461395,-0.49225191979113436,-0.8357004928860505,-1.4130922152069911,38.345594528648974,Moderate,Priority
btn,Bhutan,179.0,0.553,85.0,59.10542,45.0,4.41552,-0.8824085388371772,0.23120498076142187,-0.7384786752960997,-1.0578315801361515,-0.7440852835294085,30.755578714794012,Moderate,Priority
bwa,Botswana,175.0,0.379,74.0,64.62375,60.0,6.25575,-0.9835200651396301,-0.2023644426207044,-0.40714075304481967,-0.3914383183858487,-0.1811327039166039,37.43893753089289,Moderate,Priority
caf,Central African Republic,428.0,0.074,34.0,47.26625,45.0,10.65553,-1.160755786531861,-1.7789805276466182,-1.4493397490230586,-1.0578315801361515,1.1648226933591854,23.652178860392127,Low,Priority
can,Canada,6.2,2.819,99.0,93.46167,100.0,11.18693,0.4343657059982161,0.7830206105204917,1.324378836187545,1.3856103796149588,1.3273855256172424,85.77497519138706,Very High,Resilient
che,Switzerland,5.4,4.477,100.0,90.2925,90.0,11.69096,1.3978307095009004,0.8224360126461395,1.134091882877198,0.941348205114757,1.4815754848626856,89.17866655452237,Very High,Resilient
chl,Chile,20.0,3.334,100.0,86.81708,95.0,10.1747,0.733632579824442,0.8224360126461395,0.9254167145290666,1.163479292364858,1.017729944705362,81.91826748897404,Very High,Resilient
chn,China,52.0,3.112,97.0,58.84375,60.0,5.94389,0.604628218679933,0.704189806269196,-0.7541901666558939,-0.3914383183858487,-0.27653512180895945,50.80725156525264,High,High Burden
civ,Cote d'Ivoire,103.0,0.166,42.0,64.88625,65.0,3.43218,-1.1072945197512536,-1.4636573106414354,-0.3913794258695761,-0.16930723113574772,-1.0449030017692238,24.339686545281214,Low,Priority
cmr,Cameroon,137.0,0.136,51.0,60.12417,55.0,4.55455,-1.1247275415275384,-1.1089186915106048,-0.6773097150683695,-0.6135694056359496,-0.7015540254021265,24.016997865273634,Low,Priority
cod,"Congo, Dem. Rep.",385.0,0.208,34.0,46.77917,40.0,3.68495,-1.0828882892644547,-1.7789805276466182,-1.478585567082173,-1.2799626673862525,-0.9675770568880249,8.631539449915445,Low,Priority
cog,"Congo, Rep.",298.0,0.173,40.0,38.49167,50.0,3.29744,-1.1032268146701203,-1.5424881148927312,-1.9761931821862868,-0.8357004928860505,-1.0861218877655554,8.919871629242087,Low,Priority
col,Colombia,46.0,2.535,96.0,83.2725,85.0,8.15838,0.26933309984938497,0.6647744041435482,0.7125889618478304,0.719217117864656,0.4009089248736614,69.56860049921124,High,Resilient
cpv,Cape Verde,53.0,0.73,83.0,60.52417,55.0,5.84792,-0.7795537103570956,0.1523741765101262,-0.6532924546108557,-0.6135694056359496,-0.3058937123467947,37.215255222676035,Moderate,Priority
cri,Costa Rica,9.5,2.687,98.0,89.17208,90.0,6.86637,0.35766041018256206,0.7436052083948439,1.0668183354726783,0.941348205114757,0.005664655197838674,71.83725134536651,High,Resilient
cyp,Cyprus,7.2,3.556,99.0,88.00208,95.0,8.11913,0.8626369409689509,0.7830206105204917,0.9965678486344514,1.163479292364858,0.3889017905753389,78.86915258718234,Very High,Resilient
