geo,name,2016,2017,2018,2019,2020,2021,2022,2023,2024
afg,Afghanistan,39.72625,45.08125,52.34833,51.92958,55.56,59.1775,58.98833,56.74958,54.38625
ago,Angola,47.39542,48.35958,54.57208,57.9525,59.17,56.45625,54.96708,57.59583,58.15208
alb,Albania,64.905,68.65833,78.59667,76.04292,81.3175,85.78042,84.42625,85.07708,83.65375
and,Andorra,,,,,,,40.36792,44.79667,49.8675
are,UAE,46.70333,54.34,59.26,57.6725,66.17417,75.96667,75.9225,77.305,79.14958
arg,Argentina,65.46833,69.09583,68.94292,69.43917,72.1175,77.72792,76.46917,79.18542,80.39083
arm,Armenia,79.74167,82.04625,83.06042,82.22667,82.93833,85.8125,85.05833,83.36458,82.18042
atg,Antigua and Barbuda,,,,,44.47208,50.2375,51.63958,60.3175,63.21083
aus,Australia,83.41667,85.06333,84.36417,84.24167,83.72792,87.00458,87.82625,88.86625,88.97083
aut,Austria,86.32208,86.22958,87.83833,86.79333,88.4525,90.96417,90.10292,92.64667,89.34792
aze,Azerbaijan,54.12875,60.705,68.48625,68.47125,70.86708,73.00375,70.77917,66.78625,69.48875
bdi,Burundi,50.465,54.49208,54.82417,51.24333,50.00625,50.1975,46.85625,43.28083,45.24292
bel,Belgium,74.9525,75.58208,82.1875,82.805,82.28833,87.97125,88.36667,90.16292,87.25875
ben,Benin,48.49042,51.00042,52.79958,52.38292,60.35917,67.19792,65.74292,68.03667,71.0275
bfa,Burkina Faso,49.4675,52.91917,54.85333,54.45667,53.66958,70.42958,67.08167,73.97917,76.36792
bgd,Bangladesh,57.1575,59.60208,59.36083,59.24333,61.30958,69.89625,70.31958,71.48208,71.63833
bgr,Bulgaria,75.01375,76.75125,82.33833,81.99333,83.38292,87.47958,87.15042,88.35042,83.55417
bhr,Bahrain,42.49875,44.80833,50.9575,50.94,54.34583,54.82,54.96333,51.57917,51.96125
bhs,Bahamas,36.70208,38.70333,48.92583,45.45417,48.47333,53.15792,53.24917,51.76667,51.25708
bih,Bosnia and Herzegovina,55.37708,55.86208,61.56,61.5675,62.70708,70.86,68.45375,68.77625,68.55875
blr,Belarus,66.41792,66.09333,76.78708,79.80125,83.64958,88.46375,88.45917,79.40125,77.1975
blz,Belize,48.05583,51.71125,58.51292,56.76542,56.69708,64.30667,65.84333,66.78833,67.68417
bol,Bolivia,58.11417,61.7525,59.0725,58.98625,60.70042,67.14958,67.02417,68.85833,70.23208
bra,Brazil,74.27708,74.24667,77.61333,79.25708,79.17083,81.21292,81.08042,80.63917,82.30833
brb,Barbados,,,,,,,60.69625,62.835,61.73917
brn,Brunei,,,,,57.19333,61.715,60.87,63.20625,61.4375
btn,Bhutan,47.49792,55.185,53.07542,51.98792,51.725,57.42375,57.12167,59.10542,57.97167
bwa,Botswana,50.59125,57.535,56.81042,58.00917,58.83,60.04167,60.80375,64.62375,64.21083
caf,Central African Republic,,,,,,,41.6225,47.26625,46.84167
can,Canada,86.27958,86.44875,86.57083,87.46583,87.43667,93.42083,91.82167,93.46167,92.35875
che,Switzerland,84.39125,85.25667,86.25917,86.18167,87.42,90.38667,89.04125,90.2925,88.7125
chl,Chile,79.68125,78.92167,80.50458,82.43708,82.64208,86.44208,86.10708,86.81708,89.37917
chn,China,53.63625,55.1675,56.03958,59.555,57.4775,58.64875,55.8675,58.84375,57.92667
civ,Cote d'Ivoire,46.91667,52.155,53.27833,51.77833,56.79917,66.68583,63.75375,64.88625,70.20125
cmr,Cameroon,52.99667,57.04,57.05833,54.80333,53.64333,57.52708,58.58167,60.12417,66.0475
cod,"Congo, Dem. Rep.",,33.12125,40.95625,30.42333,43.17708,47.43333,45.32167,46.77917,46.28125
cog,"Congo, Rep.",42.66208,41.61833,36.65167,36.23667,31.73292,33.79542,32.48292,38.49167,38.87083
col,Colombia,71.59,71.9825,72.27542,74.09542,79.06833,82.7475,82.22375,83.2725,83.43833
com,Comoros,,,,,,,,,50.50375
cpv,Cape Verde,53.0125,55.91375,56.55292,56.66542,60.77125,67.385,65.20208,60.52417,59.87375
cri,Costa Rica,78.36625,84.24667,83.35917,85.77792,87.99625,91.00417,90.09458,89.17208,90.98458
cyp,Cyprus,66.51458,66.81417,79.88417,79.61792,76.79167,86.56708,85.73208,88.00208,85.05708
cze,Czech Republic,80.0025,80.47125,86.88583,86.73083,87.89208,92.01125,89.61625,91.04125,87.01
deu,Germany,84.90667,85.56792,87.44167,87.82792,87.80625,92.13917,91.78208,92.47083,90.05542
dji,Djibouti,23.96375,29.87333,37.105,38.27625,39.95708,46.70208,44.67667,39.58,38.10792
dma,Dominica,,,,,40.54292,38.88042,35.7225,36.3425,40.70708
dnk,Denmark,79.63833,81.11792,88.76458,88.88208,89.45917,94.41458,93.20333,95.25583,92.05042
dom,Dominican Republic,63.17167,65.745,63.12833,64.83458,64.9525,70.68958,73.20833,74.45333,75.21583
dza,Algeria,44.73042,48.54458,55.91833,58.3225,53.74625,63.80417,60.90667,57.36292,55.2375
ecu,Ecuador,70.36958,71.03375,72.91042,72.44667,74.20083,78.57333,78.57708,78.47458,79.85833
egy,Egypt,76.26958,75.57542,75.70833,74.40083,76.3425,76.63708,75.95292,77.78667,78.13792
esp,Spain,86.09083,86.78708,87.51542,88.52417,87.93375,91.53417,91.5025,94.325,91.82292
est,Estonia,80.59458,80.18792,86.755,86.41375,86.54625,86.86917,91.89208,92.79458,88.7875
eth,Ethiopia,51.31875,56.37208,54.42625,50.0925,50.14375,60.84375,61.91208,62.67375,61.74875
fin,Finland,87.46125,88.54583,88.7475,88.8475,90.79083,94.3075,93.74917,95.11542,90.37125
fji,Fiji,55.14625,61.65833,61.63458,60.26083,54.61875,63.90042,61.42208,62.49833,67.67667
fra,France,84.88042,86.52667,86.49208,86.23333,87.54667,90.78083,90.83958,92.82958,88.36958
fsm,"Micronesia, Fed. Sts.",25.1125,28.03458,28.1975,27.90125,35.97708,37.8225,36.53542,36.50792,37.10333
gab,Gabon,27.19875,31.99833,27.57208,32.05458,36.09542,45.86958,45.43542,46.82917,45.48208
gbr,UK,82.05667,83.17167,83.18958,83.03833,83.55,87.36167,86.6475,88.9025,88.3775
geo,Georgia,77.045,80.25,78.78292,81.73042,86.49625,90.02917,89.56625,89.2675,87.71708
gha,Ghana,59.3425,62.67042,62.34333,64.16583,63.97292,66.14792,62.9425,66.245,65.73833
gin,Guinea,42.69875,44.6575,42.80125,51.03875,50.95083,60.51917,59.13792,51.3225,49.91333
gmb,Gambia,46.52875,50.71958,52.52083,48.23042,55.45042,67.37583,66.00333,68.58875,67.01375
gnb,Guinea-Bissau,32.6775,41.075,46.01667,37.7325,32.23292,39.30917,40.85917,43.90417,47.52333
gnq,Equatorial Guinea,,,,,33.94708,35.29583,34.83042,31.07125,32.1475
grc,Greece,82.54917,83.86875,84.44708,85.36083,85.95208,89.91375,88.74792,90.57542,86.58417
grd,Grenada,,,,,,,48.40917,49.06583,50.81042
gtm,Guatemala,58.85333,62.16,63.1325,62.53625,69.755,74.03417,72.97292,76.93792,79.35583
