geo,name,2016,2017,2018,2019,2020,2021,2022,2023,2024
afg,Afghanistan,40,40,40,40,45,55,55,55,55
ago,Angola,40,40,40,40,35,40,40,50,50
alb,Albania,80,80,85,75,95,100,100,95,95
and,Andorra,,,,,10,15,15,25,25
are,UAE,55,65,65,65,75,80,80,85,85
arg,Argentina,35,35,35,35,35,60,60,70,70
arm,Armenia,75,80,85,85,85,90,90,90,80
atg,Antigua and Barbuda,25,20,20,25,25,40,40,45,55
aus,Australia,100,100,100,100,100,100,100,100,100
aut,Austria,100,100,100,95,100,95,95,100,85
aze,Azerbaijan,60,70,80,80,80,70,70,80,90
bdi,Burundi,35,35,35,35,35,35,35,45,45
bel,Belgium,95,95,95,100,95,100,100,100,80
ben,Benin,20,30,30,25,35,50,50,65,70
bfa,Burkina Faso,25,35,35,35,45,60,60,80,85
bgd,Bangladesh,35,25,25,25,25,55,60,70,65
bgr,Bulgaria,85,85,90,90,90,90,90,90,65
bhr,Bahrain,40,35,30,30,30,30,30,40,40
bhs,Bahamas,35,25,40,55,65,75,75,75,75
bih,Bosnia and Herzegovina,65,65,60,60,60,80,80,75,80
blr,Belarus,80,75,80,85,95,95,95,95,90
blz,Belize,30,30,30,30,30,45,55,55,55
bol,Bolivia,15,15,15,20,30,45,45,55,65
bra,Brazil,55,55,65,75,70,70,70,70,80
brb,Barbados,25,25,25,30,35,50,55,70,60
brn,Brunei,30,35,40,45,45,50,50,50,40
btn,Bhutan,20,20,20,15,15,40,40,45,40
bwa,Botswana,30,35,35,40,40,40,45,60,60
caf,Central African Republic,15,15,15,20,20,25,25,45,40
can,Canada,95,95,95,100,95,100,100,100,90
che,Switzerland,90,90,90,90,90,90,90,90,85
chl,Chile,75,75,85,95,95,95,95,95,95
chn,China,45,50,55,65,55,50,50,60,55
civ,Cote d'Ivoire,15,25,30,25,40,65,65,65,70
cmr,Cameroon,35,35,35,35,35,35,45,55,70
cod,"Congo, Dem. Rep.",,15,20,20,20,40,40,40,40
cog,"Congo, Rep.",30,20,20,20,25,25,25,50,50
col,Colombia,50,50,45,55,55,80,80,85,80
com,Comoros,20,20,25,30,30,40,40,40,40
cpv,Cape Verde,25,25,20,20,20,45,45,55,55
cri,Costa Rica,80,95,85,95,95,95,95,90,95
cyp,Cyprus,80,80,85,85,85,95,95,95,85
cze,Czech Republic,90,95,95,95,95,100,100,95,85
deu,Germany,95,95,95,95,95,95,95,95,85
dji,Djibouti,5,15,20,25,25,45,45,55,50
dma,Dominica,40,35,35,35,30,30,30,30,30
dnk,Denmark,100,100,100,100,100,100,100,100,85
dom,Dominican Republic,60,60,50,60,60,75,75,75,85
dza,Algeria,25,25,30,40,40,50,50,50,45
ecu,Ecuador,50,50,45,45,45,60,60,60,70
egy,Egypt,60,60,60,60,60,70,70,75,75
eri,Eritrea,10,10,10,10,15,15,10,10,10
esp,Spain,95,95,95,100,100,100,100,100,85
est,Estonia,100,100,100,100,100,100,100,100,80
eth,Ethiopia,15,15,15,15,15,40,40,45,45
fin,Finland,100,100,100,100,100,100,100,100,85
fji,Fiji,30,45,50,45,45,60,60,60,65
fra,France,100,100,100,100,100,100,100,100,85
