geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,22,22,24,25,27,28,29,31,32,34,35,36,38,39,41,42,43,45,46,48,49,50,52,53
ago,Angola,10,10,11,12,11,12,17,23,25,23,25,26,23,24,32,31,31,34,37,42,33,22,35,32
alb,Albania,89,90,91,91,92,92,93,93,94,95,95,96,96,97,97,98,98,99,99,99,99,99,99,99
and,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
are,UAE,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
arg,Argentina,87,88,88,89,89,90,90,91,91,92,92,93,93,93,94,94,95,95,95,95,95,95,95,95
arm,Armenia,88,88,88,89,89,89,89,90,90,90,90,90,91,91,91,91,92,92,92,92,93,93,93,93
atg,Antigua and Barbuda,83,84,85,86,87,88,89,90,91,91,92,93,94,94,95,96,97,98,98,99,99,99,99,99
aus,Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
aut,Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
aze,Azerbaijan,68,69,70,71,72,74,75,76,78,79,80,82,83,85,86,87,89,90,92,93,94,96,97,98
bdi,Burundi,9,9,10,8,7,8,20,35,36,39,41,47,48,47,59,57,43,51,50,52,44,36,51,51
bel,Belgium,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
ben,Benin,8,6,4,5,6,6,6,14,13,12,18,30,28,17,19,21,15,32,34,26,36,32,24,35
bfa,Burkina Faso,6,5,4,3,3,4,8,10,9,9,21,26,25,36,40,35,41,40,32,30,32,40,49,47
bgd,Bangladesh,24,25,27,28,30,31,33,35,37,39,41,42,44,46,48,50,52,54,56,58,60,62,64,66
bgr,Bulgaria,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
bhr,Bahrain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
bhs,Bahamas,88,89,89,91,91,91,92,92,92,92,92,92,92,92,93,93,93,93,93,93,93,93,93,93
bih,Bosnia and Herzegovina,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
blr,Belarus,92,92,92,92,92,92,93,93,94,94,95,95,96,96,97,97,98,98,99,99,99,100,100,100
blz,Belize,82,82,82,83,82,83,83,83,83,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84
bol,Bolivia,35,36,37,38,39,41,42,43,45,47,48,50,52,53,55,57,58,60,62,64,65,67,69,70
bra,Brazil,73,74,75,76,77,77,78,79,80,81,82,82,83,84,85,86,86,87,88,89,89,90,91,92
brb,Barbados,86,87,89,90,90,91,91,92,92,93,93,93,94,94,95,95,95,96,96,97,97,97,98,98
brn,Brunei,73,74,75,76,78,79,80,81,82,84,85,86,87,89,90,91,92,93,95,96,97,98,99,100
btn,Bhutan,44,44,47,49,51,53,55,57,59,61,63,65,67,68,70,72,74,75,77,79,80,82,84,85
bwa,Botswana,27,30,35,41,46,50,52,54,57,59,61,63,65,66,67,68,69,70,71,72,73,73,74,74
caf,Central African Republic,8,8,8,8,7,7,9,16,25,27,24,20,18,21,27,31,30,29,29,27,31,31,30,34
can,Canada,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
che,Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
chl,Chile,93,93,94,94,94,95,95,95,96,96,96,97,97,97,98,98,98,99,99,99,99,100,100,100
chn,China,57,57,60,62,64,66,68,70,72,74,76,78,79,81,83,85,86,88,90,91,93,94,96,97
civ,Cote d'Ivoire,10,9,8,7,7,8,10,14,17,18,16,32,30,25,40,47,43,48,51,46,38,45,45,42
cmr,Cameroon,12,10,7,6,5,8,14,16,16,18,17,31,39,36,40,44,50,51,49,53,51,46,49,51
cod,"Congo, Dem. Rep.",10,9,9,9,9,9,9,9,15,22,22,26,31,29,30,31,33,31,29,30,30,30,32,34
cog,"Congo, Rep.",7,6,7,7,7,8,10,12,15,13,14,19,30,34,34,33,29,25,26,37,38,36,40,40
col,Colombia,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,88,89,90,91,92,93,94,95,96
com,Comoros,12,13,22,28,28,43,46,43,38,38,52,53,45,54,54,49,60,61,56,49,62,63,56,52
cpv,Cape Verde,36,38,41,43,45,48,51,53,55,57,60,62,64,66,68,70,72,75,77,79,81,83,83,83
cri,Costa Rica,94,94,94,94,94,95,95,95,95,95,96,96,96,96,97,97,97,97,98,98,98,98,98,98
cub,Cuba,81,81,82,82,82,83,83,84,84,85,86,86,87,88,88,89,89,90,91,91,92,93,93,94
cyp,Cyprus,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99,99,99
cze,Czech Republic,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
deu,Germany,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
dji,Djibouti,16,15,14,14,14,14,15,17,26,22,22,22,22,24,24,22,23,38,45,50,49,38,46,42
dma,Dominica,63,64,66,67,69,70,71,73,74,75,76,78,79,80,80,80,80,80,80,80,80,80,80,80
dnk,Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
dom,Dominican Republic,74,73,74,74,76,77,78,79,80,81,82,82,83,84,84,85,85,86,87,87,88,88,89,89
dza,Algeria,84,85,85,85,86,86,86,86,86,87,87,87,87,87,87,87,87,86,86,86,86,86,86,86
ecu,Ecuador,73,73,74,74,75,76,77,78,78,79,80,81,82,82,83,84,85,86,87,87,88,89,90,91
egy,Egypt,92,92,92,93,93,93,93,93,94,94,94,94,95,95,95,95,95,96,96,96,96,96,97,97
eri,Eritrea,4,5,6,8,10,11,12,14,16,17,17,19,19,17,16,15,15,21,22,20,20,19,18,17
esp,Spain,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
est,Estonia,100,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
eth,Ethiopia,2,2,3,2,2,2,4,6,6,5,8,7,6,8,9,11,10,8,9,11,10,9,10,12
fin,Finland,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
fji,Fiji,88,88,88,88,89,89,90,90,91,91,91,91,92,92,92,93,93,93,93,93,93,93,93,92
fra,France,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
fsm,"Micronesia, Fed. Sts.",25,29,33,37,41,45,49,54,58,62,66,70,74,78,82,86,90,90,90,90,90,90,90,90
gab,Gabon,12,11,11,11,12,20,33,42,38,31,32,34,35,35,34,32,33,33,31,31,30,28,25,24
gbr,UK,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
geo,Georgia,76,76,77,77,78,78,79,80,80,81,82,82,83,84,84,85,86,86,87,87,88,89,89,90
gha,Ghana,6,5,3,3,4,6,10,15,16,15,16,22,28,28,27,29,30,29,35,34,30,40,43,41
gin,Guinea,6,6,6,5,3,3,6,9,10,12,14,15,20,36,38,33,34,31,26,43,43,34,43,42
gmb,Gambia,15,13,13,10,9,18,31,39,48,47,38,51,52,50,54,49,40,52,50,48,44,44,55,54
gnb,Guinea-Bissau,4,4,5,9,7,7,16,15,14,17,19,35,34,28,37,39,32,36,33,31,30,26,23,23
gnq,Equatorial Guinea,15,14,13,13,13,15,20,42,51,53,51,47,40,35,34,42,47,47,50,51,51,45,36,36
grc,Greece,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99
grd,Grenada,87,88,89,89,90,91,91,92,92,93,93,93,93,93,93,93,93,93,93,93,93,92,92,92
gtm,Guatemala,61,61,61,62,63,63,64,64,65,65,65,66,66,67,67,67,68,68,68,69,69,69,70,71
guy,Guyana,76,76,76,77,79,80,80,81,82,82,83,84,84,85,86,86,87,88,88,89,90,90,91,91
hnd,Honduras,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
hrv,Croatia,98,98,98,98,98,98,97,97,97,97,97,96,96,96,96,96,96,96,96,96,96,96,96,96
hti,Haiti,18,19,20,21,21,22,23,23,24,24,25,25,26,26,27,27,28,28,28,29,29,29,29,29
hun,Hungary,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
idn,Indonesia,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,74,76,78,80,82,84,85,87
